Taxon;Occurrence.taxa;Taxonomic.level;Remark
Baetisalpinus;Occurrence.Baetisalpinus;species;Caradima et al. 2020
Baetislutheri;Occurrence.Baetislutheri;species;Caradima et al. 2020
Baetismuticus;Occurrence.Baetismuticus;species;Caradima et al. 2020
Baetisrhodani;Occurrence.Baetisrhodani;species;Caradima et al. 2020
Baetisvardarensis;Occurrence.Baetisvardarensis;species;Caradima et al. 2020
Ceratopogonidae;Occurrence.Ceratopogonidae;family;streambugs, high prev, response to current
Elmidae;Occurrence.Elmidae;family;streambugs, high prev, response to temperature
Gammaridae;Occurrence.Gammaridae;family;Caradima et al. 2019, Chollet et al. 2023
Hydraenidae;Occurrence.Hydraenidae;family;streambugs, high prev, response to temperature
Leuctraarmata;Occurrence.Leuctraarmata;species;Vermeiren et al., 2020
Leuctrabraueri;Occurrence.Leuctrabraueri;species;Vermeiren et al., 2020
Leuctrahippopus;Occurrence.Leuctrahippopus;species;Vermeiren et al., 2020
Leuctrainermis;Occurrence.Leuctrainermis;species;Vermeiren et al., 2020
Leuctramajor;Occurrence.Leuctramajor;species;Vermeiren et al., 2020
Leuctranigra;Occurrence.Leuctranigra;species;Vermeiren et al., 2020
Leuctrarosinae;Occurrence.Leuctrarosinae;species;Vermeiren et al., 2020
Leuctraschmidi;Occurrence.Leuctraschmidi;species;Vermeiren et al., 2020
Limoniidae;Occurrence.Limoniidae;family;streambugs, high prev, response to pesticide and saproby
Nemouraavicularis;Occurrence.Nemouraavicularis;species;Vermeiren et al., 2021
Nemouraflexuosa;Occurrence.Nemouraflexuosa;species;Vermeiren et al., 2021
Nemouramarginata;Occurrence.Nemouramarginata;species;Vermeiren et al., 2021
Nemouraminima;Occurrence.Nemouraminima;species;Vermeiren et al., 2021
Nemouramortoni;Occurrence.Nemouramortoni;species;Vermeiren et al., 2021
Rhyacophilaglareosa;Occurrence.Rhyacophilaglareosa;species;Vermeiren et al., 2021
Rhyacophilahirticornis;Occurrence.Rhyacophilahirticornis;species;Vermeiren et al., 2021
Rhyacophilaintermedia;Occurrence.Rhyacophilaintermedia;species;Vermeiren et al., 2021
Rhyacophilapraemorsa;Occurrence.Rhyacophilapraemorsa;species;Vermeiren et al., 2021
Rhyacophilapubescens;Occurrence.Rhyacophilapubescens;species;Vermeiren et al., 2021
Rhyacophilarectispina;Occurrence.Rhyacophilarectispina;species;Vermeiren et al., 2021
Rhyacophilatristis;Occurrence.Rhyacophilatristis;species;Vermeiren et al., 2021
