Taxa;Factor;Class
Drususdiscolor;tempmaxtolval;3
Planariidae;saprotolval;2
Hydraenidae;currenttolval;2
Scirtidae;currenttolval;2
Cryptothrixnebulicola;tempmaxtolval;3
Drususannulatus;tempmaxtolval;3
Dixidae;currenttolval;2
Drususbiguttatus;tempmaxtolval;3
Metanoeaflavipennis;tempmaxtolval;3
Potamophylaxcingulatus;currenttolval;3
Potamophylaxcingulatus;tempmaxtolval;3
Leuctramajor;tempmaxtolval;3
Metanoearhaetica;tempmaxtolval;3
Lymnaeidae;saprotolval;2
Melampophylaxmucoreus;tempmaxtolval;3
Ecclisopteryxmadida;tempmaxtolval;3
Erpobdellidae;currenttolval;2
Drususmelanchaetes;tempmaxtolval;3
Siphonoperlatorrentium;tempmaxtolval;2
Ecdyonurustorrentis;tempmaxtolval;2
Drususmuelleri;tempmaxtolval;2
Drususnigrescens;tempmaxtolval;3
Consorophylaxconsors;currenttolval;3
Consorophylaxconsors;tempmaxtolval;3
Melampophylaxmelampus;tempmaxtolval;3
Drususalpinus;tempmaxtolval;3
Ecclisopteryxguttulata;tempmaxtolval;3
Stenophylaxpermistus;tempmaxtolval;3
Micropternasequax;tempmaxtolval;3
Isoperlacarbonaria;tempmaxtolval;3
Baetisvardarensis;tempmaxtolval;3
Baetisvardarensis;tempmaxtolval;2
Drususmixtus;tempmaxtolval;3
Limnephiluslunatus;currenttolval;3
Micropternatestacea;currenttolval;3
Micropternatestacea;tempmaxtolval;3
Siphlonuruslacustris;tempmaxtolval;2
Drususchrysotus;tempmaxtolval;3
Chaetopteryxmajor;currenttolval;3
Potamophylaxnigricornis;currenttolval;3
Potamophylaxnigricornis;tempmaxtolval;3
Micropternanycterobia;currenttolval;3
Micropternanycterobia;tempmaxtolval;3
Pseudopsilopteryxzimmeri;currenttolval;3
Pseudopsilopteryxzimmeri;tempmaxtolval;3
Enoicylapusilla;currenttolval;3
Enoicylapusilla;tempmaxtolval;3
Dryopidae;currenttolval;2
Baetislutheri;tempmaxtolval;2
Ceratopogonidae;saprotolval;3
Leuctrainermis;currenttolval;3
Leuctrainermis;saprotolval;3
Drususmonticola;tempmaxtolval;1
Drususmonticola;tempmaxtolval;3
